,Unnamed: 0,Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Qiyməti,Yerlərin sayı,Sahiblər,Hansı bazar üçün yığılıb
12179,12179,Bakı,Kia,Optima,2013,Sedan,Göy,2.0 L/165 a.g./Benzin,155 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",29 800 AZN,5.0,2.0,Avropa
12180,12180,Bakı,Land Rover,Discovery,2015,Offroader / SUV,Boz,3.0 L/249 a.g./Dizel,130 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",41 000 USD,5.0,1.0,Avropa
12181,12181,Bakı,Lexus,ES 300h,2019,Sedan,Gümüşü,2.5 L/215 a.g./Hibrid,54 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənib",43 500 USD,5.0,1.0,Avropa
12182,12182,Bakı,Mercedes,E 300 de,2021,Sedan,Qara,2.0 L/311 a.g./Plug-in Hibrid,53 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",63 500 USD,5.0,1.0,Avropa
12183,12183,Bakı,Kia,Sorento,2015,Offroader / SUV,Yaş Asfalt,2.0 L/184 a.g./Dizel,164 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",45 800 AZN,5.0,1.0,Koreya
12184,12184,Bakı,Toyota,Camry,2021,Sedan,Qara,2.5 L/181 a.g./Benzin,24 700 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",38 000 USD,5.0,1.0,Amerika
12185,12185,Bakı,LADA (VAZ),Niva,2021,Offroader / SUV,Ağ,1.7 L/83 a.g./Benzin,50 000 km,Mexaniki,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",17 300 AZN,5.0,1.0,Avropa
12186,12186,Bakı,Khazar,LX,2022,Sedan,Yaş Asfalt,1.7 L/113 a.g./Benzin,27 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",14 500 AZN,5.0,1.0,Avropa
12187,12187,Bakı,Mercedes,G 55 AMG,2010,Offroader / SUV,Boz,5.4 L/507 a.g./Benzin,144 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",45 500 USD,5.0,1.0,Avropa
12188,12188,Bakı,Kia,Optima,2017,Sedan,Qara,2.0 L/245 a.g./Benzin,61 316 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",35 500 AZN,5.0,1.0,Avropa
12189,12189,Bakı,Renault,Arkana,2021,Offroader / SUV,Ağ,1.6 L/114 a.g./Benzin,23 300 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",35 500 AZN,5.0,1.0,Avropa
12190,12190,Mingəçevir,Hyundai,Elantra,2014,Sedan,Boz,1.8 L/150 a.g./Benzin,170 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",19 600 AZN,5.0,1.0,Amerika
12191,12191,Bakı,Hyundai,Santa Fe,2013,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,147 300 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",36 500 AZN,7.0,1.0,Koreya
12192,12192,Bakı,Kia,Sorento,2015,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,174 700 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",45 800 AZN,5.0,1.0,Koreya
12193,12193,Bakı,Mercedes,Viano,2011,Minivan,Qara,2.2 L/163 a.g./Dizel,257 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",33 500 AZN,7.0,1.0,Avropa
12194,12194,Bakı,Kia,Sorento,2016,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,146 100 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",45 900 AZN,5.0,1.0,Koreya
12195,12195,Gəncə,Mercedes,208 D,1990,Mikroavtobus,Ağ,2.3 L/150 a.g./Dizel,333 333 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənib",14 500 AZN,5.0,2.0,Avropa
12196,12196,Bakı,Chevrolet,Aveo,2007,Hetçbek,Tünd qırmızı,1.4 L/94 a.g./Benzin,221 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",8 800 AZN,5.0,1.0,Avropa
12197,12197,Bakı,LADA (VAZ),2107,2006,Sedan,Ağ,1.5 L/65 a.g./Benzin,350 000 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",5 200 AZN,5.0,1.0,Avropa
12198,12198,Bakı,LADA (VAZ),2107,1998,Sedan,Ağ,1.6 L/75 a.g./Benzin,90 000 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənib",3 777 AZN,5.0,1.0,Rusiya
12199,12199,Sumqayıt,Renault,Logan,2010,Sedan,Ağ,1.4 L/75 a.g./Benzin,170 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",8 300 AZN,5.0,1.0,Avropa
12200,12200,Bakı,Kia,Sorento,2018,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,125 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",49 100 AZN,5.0,0.0,Koreya
12201,12201,Bakı,Mercedes,E 220,1995,Sedan,Göy,2.2 L/150 a.g./Benzin,265 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",7 900 AZN,5.0,1.0,Rəsmi diler
12202,12202,Bakı,Toyota,Prius,2011,Liftbek,Tünd qırmızı,1.8 L/99 a.g./Hibrid,249 609 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",17 300 AZN,5.0,2.0,Avropa
12203,12203,Xırdalan,Mercedes,E 200,1996,Sedan,Yaş Asfalt,2.0 L/136 a.g./Benzin,456 860 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",8 800 AZN,5.0,1.0,Avropa
12204,12204,Bakı,Chevrolet,Cruze,2013,Sedan,Qara,1.4 L/140 a.g./Benzin,195 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 000 AZN,5.0,2.0,Amerika
12205,12205,Babək,Daewoo,Racer,1995,Sedan,Ağ,1.5 L/75 a.g./Benzin,354 870 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",3 500 AZN,5.0,1.0,Avropa
12206,12206,Bakı,LADA (VAZ),Priora,2013,Hetçbek,Göy,1.6 L/106 a.g./Benzin,211 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",7 300 AZN,5.0,1.0,Rusiya
12207,12207,Bakı,Nissan,Note,2013,Hetçbek,Tünd qırmızı,1.2 L/98 a.g./Benzin,23 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",14 500 AZN,5.0,1.0,Yaponiya
